trade_date,scope,level1_industry_name,turn_daily_std
2013-01-23,行业,消费者服务,1.7415979549246035
2013-01-23,行业,煤炭,1.2324348471255078
2013-01-23,行业,电力及公用事业,4.179477712402573
2013-01-23,行业,电力设备及新能源,3.1628105309366323
2013-01-23,行业,电子,3.348039863442888
2013-01-23,行业,石油石化,2.342126384720805
2013-01-23,行业,纺织服装,2.1589686798836074
2013-01-23,行业,综合,2.190218679660397
2013-01-23,行业,综合金融,7.331906643814493
2013-01-23,行业,计算机,3.9523879191250564
2013-01-23,行业,轻工制造,3.5593526130023276
2013-01-23,行业,通信,3.089609490794089
2013-01-23,行业,钢铁,1.1355386251245694
2013-01-23,行业,银行,0.7276710112578348
2013-01-23,行业,非银行金融,2.034034650433409
2013-01-23,行业,食品饮料,2.2661101869745024
2013-01-24,全A,全A,3.695344268743143
2013-01-24,行业,交通运输,2.4985075928534264
2013-01-24,行业,传媒,5.3590968050443
2013-01-24,行业,农林牧渔,3.666383182201522
2013-01-24,行业,医药,2.96884618901818
2013-01-24,行业,商贸零售,4.132611561465236
2013-01-24,行业,国防军工,5.242042938590402
2013-01-24,行业,基础化工,3.8840471297658983
2013-01-24,行业,家电,2.9960655121459725
2013-01-24,行业,建材,2.5371167712489733
2013-01-24,行业,建筑,3.5872817196784648
2013-01-24,行业,房地产,3.349741832352736
2013-01-24,行业,有色金属,3.3335914355566714
2013-01-24,行业,机械,3.4126465045909153
2013-01-24,行业,汽车,2.38409378877079
2013-01-24,行业,消费者服务,1.889665003802939
2013-01-24,行业,煤炭,1.1770033108277973
2013-01-24,行业,电力及公用事业,4.659175944417571
2013-01-24,行业,电力设备及新能源,3.0994670497360244
2013-01-24,行业,电子,3.330400071796448
2013-01-24,行业,石油石化,3.7349222447993435
2013-01-24,行业,纺织服装,2.0558544055135295
2013-01-24,行业,综合,2.6098543690022247
2013-01-24,行业,综合金融,16.919517037728944
2013-01-24,行业,计算机,3.5166803889073277
2013-01-24,行业,轻工制造,3.528312501334806
2013-01-24,行业,通信,3.4741881010484996
2013-01-24,行业,钢铁,1.8669679706955977
